,basic_date,stockname,close_value,volume_value,diff_value,diff_value_rate,ma3_value,ma3_rate,cv3d_diff_rate,vv_diff_value,vv_ma3_value,vv_ma3_rate,ud_3d
117,20170710,에듀파트너,3445,0,-5.0,-0.1449,3448.3333333333335,-1.33907221425155,-0.8695652173913043,0.0,100.0,-49.91680532445924,0
118,20170711,에듀파트너,3420,301,-25.0,-0.7257,3438.3333333333335,-1.7703349282296739,-1.4492753623188406,301.0,100.33333333333333,0.1663893510815213,-1
119,20170712,에듀파트너,3400,301,-20.0,-0.5848,3421.6666666666665,-1.5949734171097147,-2.467343976777939,0.0,200.66666666666666,234.33333333333331,-1
120,20170713,에듀파트너,3360,401,-40.0,-1.1765,3393.3333333333335,-6.737760542898699,-16.374269005847953,100.0,334.3333333333333,266.11295681063126,-1
121,20170714,에듀파트너,2860,400,-500.0,-14.881,3206.6666666666665,-11.690209449585973,-16.323529411764707,-1.0,367.3333333333333,99.66777408637876,-1
122,20170717,에듀파트너,2845,401,-15.0,-0.5245,3021.6666666666665,-16.797642436149314,-17.708333333333336,1.0,400.6666666666667,19.740777666999005,-1
123,20170718,에듀파트너,2765,400,-80.0,-2.812,2823.3333333333335,-13.77338877338877,-6.118881118881119,-1.0,400.3333333333333,8.983666061705991,-1
124,20170719,에듀파트너,2685,400,-80.0,-2.8933,2765.0,-6.894649751792599,5.0966608084358525,0.0,400.3333333333333,-33.36106489184692,0
125,20170720,에듀파트너,2990,1,305.0,11.3594,2813.3333333333335,7.43801652892562,23.869801084990957,-399.0,267.0,-66.52789342214821,0
126,20170721,에듀파트너,3425,1,435.0,14.5485,3033.3333333333335,24.713682941531047,46.36871508379888,0.0,134.0,-99.75020815986679,1
127,20170724,에듀파트너,3930,1,505.0,14.7445,3448.3333333333335,33.64928909952606,31.270903010033447,0.0,1.0,-62.172284644194754,0
128,20170725,에듀파트너,3925,301,-5.0,-0.1272,3760.0,23.02197802197801,-2.4817518248175183,300.0,101.0,49.75124378109452,0
129,20170726,에듀파트너,3340,300,-585.0,-14.9045,3731.6666666666665,5.944900918318028,-5.979643765903308,-1.0,200.66666666666666,19966.666666666664,0
130,20170727,에듀파트너,3695,1,355.0,10.6287,3653.3333333333335,-0.04432624113474774,8.025477707006369,-299.0,200.66666666666666,-0.33003300330032537,0
131,20170728,에듀파트너,4240,1,545.0,14.7497,3758.3333333333335,14.381420276909331,45.808383233532936,0.0,100.66666666666667,-99.5016611295681,1
132,20170731,에듀파트너,4870,1,630.0,14.8585,4268.333333333333,20.89416058394161,12.043301759133964,0.0,1.0,-49.833887043189364,0
133,20170801,에듀파트너,4140,300,-730.0,-14.9897,4416.666666666667,22.084257206208413,12.14622641509434,299.0,100.66666666666667,0.0,0
134,20170802,에듀파트너,4755,1,615.0,14.8551,4588.333333333333,1.0542756735650136,-16.940451745379878,-299.0,100.66666666666667,19933.333333333336,0
135,20170803,에듀파트너,4045,300,-710.0,-14.9317,4313.333333333333,-6.452830188679245,-13.16425120772947,299.0,200.33333333333334,0.3311258278145648,0
136,20170804,에듀파트너,3595,2,-450.0,-11.1248,4131.666666666667,-22.266618234653105,-35.646687697160885,-298.0,101.0,99.33774834437085,-1
137,20170807,에듀파트너,3060,300,-535.0,-14.8818,3566.6666666666665,-28.438948995363212,-35.59950556242274,298.0,200.66666666666666,16.8053244592346,-1
138,20170808,에듀파트너,2605,400,-455.0,-14.8693,3086.6666666666665,-36.425978217023,-38.38664812239222,100.0,234.0,263.036303630363,-1
139,20170809,에듀파트너,2215,400,-390.0,-14.9712,2626.6666666666665,-37.336448598130836,-38.39869281045752,0.0,366.6666666666667,115.9468438538206,-1
140,20170810,에듀파트너,1885,500,-330.0,-14.8984,2235.0,-38.33693304535637,-38.1957773512476,100.0,433.3333333333333,113.8176638176638,-1
141,20170811,에듀파트너,1610,601,-275.0,-14.5889,1903.3333333333333,-37.88071065989847,-36.794582392776526,101.0,500.3333333333333,63.8181818181818,-1
142,20170814,에듀파트너,1400,701,-210.0,-13.0435,1631.6666666666667,-34.82475764354959,-27.851458885941643,100.0,600.6666666666666,54.07692307692308,-1
143,20170816,에듀파트너,1360,701,-40.0,-2.8571,1456.6666666666667,-28.45884413309982,-17.70186335403727,0.0,667.6666666666666,46.768820786142584,-1
144,20170817,에듀파트너,1325,801,-35.0,-2.5735,1361.6666666666667,-22.06332992849847,-19.28571428571429,100.0,734.3333333333334,-16.59267480577136,-1
145,20170818,에듀파트너,1130,1,-195.0,-14.717,1271.6666666666667,-17.276887871853553,-14.705882352941178,-800.0,501.0,-15.027458811782315,0
146,20170821,에듀파트너,1160,900,30.0,2.6549,1205.0,-14.810281517747862,-10.18867924528302,899.0,567.3333333333334,-18.247843849296412,0
147,20170822,에듀파트너,1190,900,30.0,2.5862,1160.0,-6.422018348623859,7.964601769911504,0.0,600.3333333333334,79.64071856287424,1
148,20170823,에듀파트너,1220,900,30.0,2.521,1190.0,0.5532503457814724,5.603448275862069,0.0,900.0,52.82021151586368,1
149,20170824,에듀파트너,1225,801,5.0,0.4098,1211.6666666666667,4.741379310344827,0.8403361344537815,-99.0,867.0,38.92282065519155,0
150,20170825,에듀파트너,1200,801,-25.0,-2.0408,1215.0,1.820728291316533,-0.819672131147541,0.0,834.0,69.74074074074075,0
151,20170828,에듀파트너,1210,2981,10.0,0.8333,1211.6666666666667,0.41265474552957354,1.2244897959183674,2180.0,1527.6666666666667,80.0076893502499,0
152,20170829,에듀파트너,1240,900,30.0,2.4793,1216.6666666666667,2.05761316872428,5.833333333333333,-2081.0,1560.6666666666667,87.09032773780974,1
153,20170830,에듀파트너,1270,800,30.0,2.4194,1240.0,9.215955983493798,20.66115702479339,-100.0,1560.3333333333333,-45.45057822387083,1
154,20170831,에듀파트너,1460,800,190.0,14.9606,1323.3333333333333,16.027397260273972,21.370967741935484,0.0,833.3333333333334,-50.83297736010252,1
155,20170901,에듀파트너,1505,702,45.0,3.0822,1411.6666666666667,18.951612903225808,14.960629921259844,-98.0,767.3333333333334,-67.84875026703695,0
156,20170904,에듀파트너,1460,3,-45.0,-2.99,1475.0,10.57934508816121,-2.3972602739726026,-699.0,501.6666666666667,-43.76,0
157,20170905,에듀파트너,1425,701,-35.0,-2.3973,1463.3333333333333,-3.0696576151121713,-18.93687707641196,698.0,468.6666666666667,-8.557775847089497,-1
158,20170906,에듀파트너,1220,1401,-205.0,-14.386,1368.3333333333333,-8.587570621468931,-4.10958904109589,700.0,701.6666666666666,92.82392026578073,0
159,20170907,에듀파트너,1400,800,180.0,14.7541,1348.3333333333333,-9.453302961275622,-4.912280701754386,-601.0,967.3333333333334,127.73826458036982,0
160,20170908,에듀파트너,1355,1001,-45.0,-3.2143,1325.0,1.4616321559074301,15.573770491803279,201.0,1067.3333333333333,23.56294536817103,0
161,20170911,에듀파트너,1410,800,55.0,4.059,1388.3333333333333,7.787391841779975,13.928571428571429,-201.0,867.0,-34.45899379738112,0
162,20170912,에듀파트너,1595,101,185.0,13.1206,1453.3333333333333,20.62893081761006,32.10332103321033,-699.0,634.0,-71.83010618363522,1
163,20170913,에듀파트너,1790,1,195.0,12.2257,1598.3333333333333,25.330132052821135,30.141843971631204,-100.0,300.6666666666667,-72.97193387158785,1
164,20170914,에듀파트너,1835,601,45.0,2.514,1740.0,18.922018348623855,-2.19435736677116,600.0,234.33333333333334,-68.19137749737119,0
165,20170915,에듀파트너,1560,3,-275.0,-14.9864,1728.3333333333333,-1.3555787278414921,-25.41899441340782,-598.0,201.66666666666666,44.678492239467836,0
166,20170918,에듀파트너,1335,701,-225.0,-14.4231,1576.6666666666667,-22.413793103448278,-37.05722070844686,698.0,435.0,114.08250355618779,-1
167,20170919,에듀파트너,1155,801,-180.0,-13.4831,1350.0,-28.640308582449375,-22.435897435897438,100.0,501.6666666666667,166.11570247933884,0
168,20170920,에듀파트너,1210,108,55.0,4.7619,1233.3333333333333,-20.718816067653282,3.7453183520599254,-693.0,536.6666666666666,41.839080459770116,0
169,20170921,에듀파트너,1385,942,175.0,14.4628,1250.0,3.3333333333333335,37.66233766233766,834.0,617.0,111.0299003322259,1
170,20170922,에듀파트너,1590,2126,205.0,14.8014,1395.0,29.594594594594597,50.413223140495866,1184.0,1058.6666666666667,110.1242236024845,1
171,20170925,에듀파트너,1820,315,230.0,14.4654,1598.3333333333333,39.333333333333336,31.046931407942242,-1811.0,1127.6666666666667,64.34359805510535,0
172,20170926,에듀파트너,1815,601,-5.0,-0.2747,1741.6666666666667,30.227001194743135,14.150943396226415,286.0,1014.0,-52.23551637279596,0
173,20170927,에듀파트너,1815,601,0.0,0.0,1816.6666666666667,8.029197080291981,-14.835164835164836,0.0,505.6666666666667,-34.90984333431866,0
174,20170928,에듀파트너,1550,1000,-265.0,-14.6006,1726.6666666666667,-10.047846889952153,-26.446280991735538,399.0,734.0,-14.497041420118343,0
175,20170929,에듀파트너,1335,1000,-215.0,-13.871,1566.6666666666667,-19.633027522935784,-17.63085399449036,0.0,867.0,66.84245220830586,0
176,20171010,에듀파트너,1495,531,160.0,11.985,1460.0,-15.830115830115837,-1.2903225806451613,-469.0,843.6666666666666,0.9536784741144414,0
177,20171011,에듀파트너,1530,692,35.0,2.3411,1453.3333333333333,-7.659574468085106,-1.4981273408239701,161.0,741.0,-25.60553633217993,0
178,20171012,에듀파트너,1315,712,-215.0,-14.0523,1446.6666666666667,-9.132420091324196,-24.08026755852843,20.0,645.0,-44.4883445278546,0
179,20171013,에듀파트너,1135,1,-180.0,-13.6882,1326.6666666666667,-17.660550458715587,-25.49019607843137,-711.0,468.3333333333333,-3.1039136302294197,0
180,20171016,에듀파트너,1140,1441,5.0,0.4405,1196.6666666666667,-21.082949308755758,-12.547528517110266,1440.0,718.0,21.085271317829456,0
181,20171017,에듀파트너,1150,901,10.0,0.8772,1141.6666666666667,-17.21105527638192,-11.45374449339207,-540.0,781.0,137.86476868327404,0
182,20171018,에듀파트너,1005,1000,-145.0,-12.6087,1098.3333333333333,-11.838440111420619,-11.403508771929824,99.0,1114.0,34.72609099350047,0
183,20171019,에듀파트너,1010,1001,5.0,0.4975,1055.0,-11.094890510948911,-10.434782608695652,1.0,967.3333333333334,28.083653435766117,0
184,20171020,에듀파트너,1030,1000,20.0,1.9802,1015.0,-2.276176024279211,17.412935323383085,-1.0,1000.3333333333334,-34.081388390185516,1
185,20171023,에듀파트너,1180,202,150.0,14.5631,1073.3333333333333,2.0537124802527718,0.9900990099009901,-798.0,734.3333333333334,3.583735354927632,0
186,20171024,에듀파트너,1020,1804,-160.0,-13.5593,1076.6666666666667,0.853858784893264,-15.436893203883495,1602.0,1002.0,-33.088970343218925,0
187,20171025,에듀파트너,871,2,-149.0,-14.6078,1023.6666666666666,-14.999999999999991,-28.30508474576271,-1802.0,669.3333333333334,36.495687698592825,-1
188,20171026,에듀파트너,846,1201,-25.0,-2.8703,912.3333333333334,-16.749226006191954,-4.705882352941177,1199.0,1002.3333333333334,-20.059880239520957,0
189,20171027,에듀파트너,972,1200,126.0,14.8936,896.3333333333334,-4.493650276782807,28.013777267508612,-1.0,801.0,69.37250996015936,0
190,20171030,에듀파트너,1115,1000,143.0,14.7119,977.6666666666666,17.53744976251369,33.56973995271868,-200.0,1133.6666666666667,26.770867974725643,1
191,20171031,에듀파트너,1130,1612,15.0,1.3453,1072.3333333333333,25.51134250650799,16.255144032921812,612.0,1270.6666666666667,74.1156887224303,0
192,20171101,에듀파트너,1130,1572,0.0,0.0,1125.0,14.728946471189921,-0.8968609865470852,-40.0,1394.6666666666667,20.111731843575416,0
193,20171102,에듀파트너,1105,901,-25.0,-2.2124,1121.6666666666667,3.0463164438918318,-4.424778761061947,-671.0,1361.6666666666667,-11.4900314795383,0
194,20171103,에듀파트너,1080,901,-25.0,-2.2624,1105.0,1.4814814814814883,9.734513274336283,0.0,1124.6666666666667,-9.130019120458902,0
195,20171106,에듀파트너,1240,2000,160.0,14.8148,1141.6666666666667,5.9435364041604615,12.669683257918551,1099.0,1267.3333333333333,-9.179926560587514,0
196,20171107,에듀파트너,1245,809,5.0,0.4032,1188.3333333333333,13.574660633484163,18.51851851851852,-1191.0,1236.6666666666667,6.965026674570236,1
197,20171108,에듀파트너,1280,800,35.0,2.8112,1255.0,16.642335766423358,18.548387096774192,-9.0,1203.0,-31.37822198842714,1
198,20171109,에듀파트너,1470,1000,190.0,14.8438,1331.6666666666667,24.54417952314166,35.7429718875502,200.0,869.6666666666666,-51.482479784366575,1
199,20171110,에듀파트너,1690,0,220.0,14.966,1480.0,22.17795484727755,12.5,-1000.0,600.0,-71.98669991687449,0
200,20171113,에듀파트너,1440,11,-250.0,-14.7929,1533.3333333333333,19.77471839799749,12.585034013605442,11.0,337.0,-99.5783825220391,0
201,20171114,에듀파트너,1655,0,215.0,14.9306,1595.0,12.5,12.42603550295858,-11.0,3.6666666666666665,-84.44444444444444,0
202,20171115,에듀파트너,1900,269,245.0,14.8036,1665.0,18.043478260869573,30.208333333333332,269.0,93.33333333333333,74.87636003956479,0
203,20171116,에듀파트너,1875,1499,-25.0,-1.3158,1810.0,17.763845350052243,12.386706948640484,1230.0,589.3333333333334,21436.363636363636,0
204,20171117,에듀파트너,1860,601,-15.0,-0.8,1878.3333333333333,17.417417417417415,12.105263157894736,-898.0,789.6666666666666,650.3571428571429,0
205,20171120,에듀파트너,2130,1,270.0,14.5161,1955.0,15.009208103130748,20.266666666666666,-600.0,700.3333333333334,-65.89366515837104,0
206,20171121,에듀파트너,2255,1,125.0,5.8685,2081.6666666666665,23.69121561668147,38.97849462365591,0.0,201.0,-99.87336428872943,1
207,20171122,에듀파트너,2585,1,330.0,14.6341,2323.3333333333335,25.31969309462916,17.84037558685446,0.0,1.0,-80.86625416468348,0
208,20171123,에듀파트너,2510,400,-75.0,-2.9014,2450.0,21.53722978382707,10.643015521064301,399.0,134.0,49.58540630182422,0
209,20171124,에듀파트너,2495,501,-15.0,-0.5976,2530.0,6.599713055954075,-6.189555125725339,101.0,300.6666666666667,46600.0,-1
210,20171127,에듀파트너,2425,500,-70.0,-2.8056,2476.6666666666665,-4.965986394557817,-17.729083665338646,-1.0,467.0,177.363184079602,-1
211,20171128,에듀파트너,2065,114,-360.0,-14.8454,2328.3333333333335,-17.654808959156778,-29.458917835671343,-386.0,371.6666666666667,23.61419068736142,-1
212,20171129,에듀파트너,1760,501,-305.0,-14.77,2083.3333333333335,-21.80349932705248,-18.144329896907216,387.0,371.6666666666667,60.67094932191293,0
213,20171130,에듀파트너,1985,1636,225.0,12.7841,1936.6666666666667,-22.19040801717967,-18.159806295399516,1135.0,750.3333333333334,145.47085201793723,0
214,20171201,에듀파트너,1690,600,-295.0,-14.8615,1811.6666666666667,-10.32000000000001,9.659090909090908,-1036.0,912.3333333333334,280.0896860986547,0
215,20171204,에듀파트너,1930,2002,240.0,14.2012,1868.3333333333333,-4.8192771084337425,-3.7783375314861463,1402.0,1412.6666666666667,42.29231452687694,0
216,20171205,에듀파트너,1910,601,-20.0,-1.0363,1843.3333333333333,0.5519779208831647,-3.8461538461538463,-1401.0,1067.6666666666667,17.099013518450846,0
217,20171206,에듀파트너,1625,602,-285.0,-14.9215,1821.6666666666667,-8.474576271186438,-17.357512953367877,1.0,1068.3333333333333,-29.14110429447853,-1
218,20171207,에듀파트너,1595,1800,-30.0,-1.8462,1710.0,-13.01989150090416,-16.75392670157068,1198.0,1001.0,-24.945363721511086,-1
219,20171208,에듀파트너,1590,2,-5.0,-0.3135,1603.3333333333333,-8.417200365965241,12.0,-1798.0,801.3333333333334,-43.744149765990635,0
220,20171211,에듀파트너,1820,1,230.0,14.4654,1668.3333333333333,0.974658869395716,10.9717868338558,-1.0,601.0,-79.92007992007993,0
221,20171212,에듀파트너,1770,600,-50.0,-2.7473,1726.6666666666667,11.226611226611228,10.69182389937107,599.0,201.0,-50.0,0
222,20171213,에듀파트너,1760,601,-10.0,-0.565,1783.3333333333333,0.4995004995005086,-17.582417582417584,1.0,400.6666666666667,-0.11092623405434755,-1
223,20171214,에듀파트너,1500,600,-260.0,-14.7727,1676.6666666666667,-11.872586872586872,-26.27118644067797,-1.0,600.3333333333334,99.50248756218906,-1
224,20171215,에듀파트너,1305,2,-195.0,-13.0,1521.6666666666667,-23.644859813084103,-27.27272727272727,-598.0,401.0,41.763727121464214,-1
225,20171218,에듀파트너,1280,1102,-25.0,-1.9157,1361.6666666666667,-26.838966202783297,-27.0,1100.0,568.0,-10.882842865074965,-1
226,20171219,에듀파트너,1095,501,-185.0,-14.4531,1226.6666666666667,-20.48192771084338,-3.8314176245210727,-601.0,535.0,33.582709891936815,0
227,20171220,에듀파트너,1255,4,160.0,14.6119,1210.0,-16.156670746634024,-16.015625,-497.0,535.6666666666666,-11.619718309859154,0
228,20171221,에듀파트너,1075,1001,-180.0,-14.3426,1141.6666666666667,-3.1250000000000124,12.785388127853881,997.0,502.0,2.0560747663551404,0
229,20171222,에듀파트너,1235,633,160.0,14.8837,1188.3333333333333,,,-368.0,546.0,,0
